Account_Email,Account_Type,Project,Current_Role,Recommendation,Description,Total_Permissions,Used_Permissions,Unused_Permissions,Waste_Percentage,Risk_Score,Over_Privilege_Score,Priority,Exercised_Permissions
user:sandra.gendy@documo.com,user,foiply-app,roles/networkconnectivity.groupUser,REMOVE_ROLE,This role has not been used during the observation window.,1,0,1,100.0,100,100,P4,None
serviceAccount:xfs-production@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.secretAccessor,REMOVE_ROLE,This role has not been used during the observation window.,3,0,3,100.0,100,100,P4,None
serviceAccount:gsa-portal@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/container.admin,REMOVE_ROLE,This role has not been used during the observation window.,429,0,429,100.0,100,100,P4,None
serviceAccount:devops-workstations@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/workstations.serviceAgent,REMOVE_ROLE,This role has not been used during the observation window.,71,0,71,100.0,100,100,P4,None
serviceAccount:cloud-sql@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectAdmin,REMOVE_ROLE,This role has not been used during the observation window.,28,0,28,100.0,100,100,P4,None
serviceAccount:datadog-118@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/compute.viewer,REMOVE_ROLE,This role has not been used during the observation window.,354,0,354,100.0,100,100,P4,None
serviceAccount:gsa-fusion-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/container.admin,REMOVE_ROLE,This role has not been used during the observation window.,429,0,429,100.0,100,100,P4,None
serviceAccount:foiply-app@appspot.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectAdmin,REMOVE_ROLE,This role has not been used during the observation window.,28,0,28,100.0,100,100,P4,None
serviceAccount:collector@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/monitoring.metricWriter,REMOVE_ROLE,This role has not been used during the observation window.,6,0,6,100.0,100,100,P4,None
serviceAccount:documo-app@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/container.developer,REMOVE_ROLE,This role has not been used during the observation window.,386,0,386,100.0,100,100,P4,None
serviceAccount:105005824641-compute@developer.gserviceaccount.com,serviceAccount,foiply-app,roles/clouddeploy.releaser,REMOVE_ROLE,This role has not been used during the observation window.,23,0,23,100.0,100,100,P4,None
serviceAccount:gsa-fusion@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectAdmin,REMOVE_ROLE,This role has not been used during the observation window.,28,0,28,100.0,100,100,P4,None
serviceAccount:documo-devops-gsm@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.admin,REMOVE_ROLE,This role has not been used during the observation window.,27,0,27,100.0,100,100,P4,None
serviceAccount:ubuntu-workstation@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/iam.serviceAccountUser,REMOVE_ROLE,This role has not been used during the observation window.,5,0,5,100.0,100,100,P4,None
serviceAccount:gsa-converter-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.secretAccessor,REMOVE_ROLE,This role has not been used during the observation window.,3,0,3,100.0,100,100,P4,None
user:steve.chong@documo.com,user,foiply-app,roles/cloudsql.instanceUser,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:gsa-faxengine-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/monitoring.metricWriter,REMOVE_ROLE,This role has not been used during the observation window.,6,0,6,100.0,100,100,P4,None
serviceAccount:gsa-xfs-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudsql.client,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:gsa-portal@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.secretAccessor,REMOVE_ROLE,This role has not been used during the observation window.,3,0,3,100.0,100,100,P4,None
serviceAccount:gsa-faxengine-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/artifactregistry.reader,REMOVE_ROLE,This role has not been used during the observation window.,31,0,31,100.0,100,100,P4,None
serviceAccount:cloudsql-read-only@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudsql.instanceUser,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
user:it-sys@documo.com,user,foiply-app,roles/securitycenter.admin,REMOVE_ROLE,This role has not been used during the observation window.,366,0,366,100.0,100,100,P4,None
serviceAccount:prod-faxstorage-buckets-sa@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectViewer,REMOVE_ROLE,This role has not been used during the observation window.,8,0,8,100.0,100,100,P4,None
serviceAccount:documo-app@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/networkmanagement.admin,REMOVE_ROLE,This role has not been used during the observation window.,22,0,22,100.0,100,100,P4,None
user:it-sys@documo.com,user,foiply-app,roles/storage.admin,REMOVE_ROLE,This role has not been used during the observation window.,78,0,78,100.0,100,100,P4,None
user:v-dan.kott@documo.com,user,foiply-app,roles/owner,REMOVE_ROLE,This role has not been used during the observation window.,11614,0,11614,100.0,100,100,P2,None
serviceAccount:gsa-faxengine-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/logging.logWriter,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
group:finance@documo.com,group,foiply-app,roles/billing.projectManager,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:documo-app@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/compute.admin,REMOVE_ROLE,This role has not been used during the observation window.,961,0,961,100.0,100,100,P4,None
serviceAccount:gke-limited@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/run.invoker,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:gitlab@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/artifactregistry.reader,REMOVE_ROLE,This role has not been used during the observation window.,31,0,31,100.0,100,100,P4,None
serviceAccount:xfs-production@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.viewer,REMOVE_ROLE,This role has not been used during the observation window.,11,0,11,100.0,100,100,P4,None
group:devops@documo.com,group,foiply-app,roles/logging.logWriter,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:xfs-production@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.secretVersionManager,REMOVE_ROLE,This role has not been used during the observation window.,8,0,8,100.0,100,100,P4,None
serviceAccount:gsa-gotenberg-chromium-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/artifactregistry.reader,REMOVE_ROLE,This role has not been used during the observation window.,31,0,31,100.0,100,100,P4,None
serviceAccount:gke-limited@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudsql.client,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:devops-workstations@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/editor,REMOVE_ROLE,This role has not been used during the observation window.,10251,0,10251,100.0,100,100,P2,None
user:v-sandra.gendy@documo.com,user,foiply-app,roles/owner,REMOVE_ROLE,This role has not been used during the observation window.,11614,0,11614,100.0,100,100,P2,None
serviceAccount:xfs-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/composer.environmentAndStorageObjectUser,REMOVE_ROLE,This role has not been used during the observation window.,24,0,24,100.0,100,100,P4,None
serviceAccount:test-nick@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/iam.serviceAccountTokenCreator,REMOVE_ROLE,This role has not been used during the observation window.,9,0,9,100.0,100,100,P4,None
serviceAccount:xfs-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.viewer,REMOVE_ROLE,This role has not been used during the observation window.,11,0,11,100.0,100,100,P4,None
serviceAccount:gsa-fusion-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.secretAccessor,REMOVE_ROLE,This role has not been used during the observation window.,3,0,3,100.0,100,100,P4,None
serviceAccount:documo-app@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudsql.client,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:105005824641-compute@developer.gserviceaccount.com,serviceAccount,foiply-app,roles/eventarc.eventReceiver,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
serviceAccount:ubuntu-workstation@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/config.agent,REMOVE_ROLE,This role has not been used during the observation window.,23,0,23,100.0,100,100,P4,None
serviceAccount:staging-buckets-sa@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectViewer,REMOVE_ROLE,This role has not been used during the observation window.,8,0,8,100.0,100,100,P4,None
serviceAccount:grafana-gcp-service-account@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/monitoring.viewer,REMOVE_ROLE,This role has not been used during the observation window.,33,0,33,100.0,100,100,P4,None
serviceAccount:gsa-gotenberg-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/artifactregistry.reader,REMOVE_ROLE,This role has not been used during the observation window.,31,0,31,100.0,100,100,P4,None
serviceAccount:gitlab@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudbuild.builds.editor,REMOVE_ROLE,This role has not been used during the observation window.,11,0,11,100.0,100,100,P4,None
serviceAccount:dan-kott-workstation@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectAdmin,REMOVE_ROLE,This role has not been used during the observation window.,28,0,28,100.0,100,100,P4,None
user:it-sys@documo.com,user,foiply-app,roles/cloudsupport.techSupportEditor,REMOVE_ROLE,This role has not been used during the observation window.,10,0,10,100.0,100,100,P4,None
serviceAccount:gsa-fusion-operarius-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.secretAccessor,REMOVE_ROLE,This role has not been used during the observation window.,3,0,3,100.0,100,100,P4,None
user:ben.turner@documo.com,user,foiply-app,roles/bigquery.dataViewer,REMOVE_ROLE,This role has not been used during the observation window.,21,0,21,100.0,100,100,P4,None
serviceAccount:105005824641-compute@developer.gserviceaccount.com,serviceAccount,foiply-app,roles/remotebuildexecution.artifactViewer,REMOVE_ROLE,This role has not been used during the observation window.,3,0,3,100.0,100,100,P4,None
serviceAccount:gke-artifact-puller@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/artifactregistry.reader,REMOVE_ROLE,This role has not been used during the observation window.,31,0,31,100.0,100,100,P4,None
serviceAccount:grafana-gcp-service-account@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/logging.viewer,REMOVE_ROLE,This role has not been used during the observation window.,28,0,28,100.0,100,100,P4,None
user:it-sys@documo.com,user,foiply-app,roles/secretmanager.secretAccessor,REMOVE_ROLE,This role has not been used during the observation window.,3,0,3,100.0,100,100,P4,None
serviceAccount:gsa-xfs-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/iam.serviceAccountTokenCreator,REMOVE_ROLE,This role has not been used during the observation window.,9,0,9,100.0,100,100,P4,None
serviceAccount:collector@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/cloudfunctions.invoker,REMOVE_ROLE,This role has not been used during the observation window.,1,0,1,100.0,100,100,P4,None
serviceAccount:collector@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/monitoring.metricsScopesViewer,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
user:it-sys@documo.com,user,foiply-app,roles/iam.roleAdmin,REMOVE_ROLE,This role has not been used during the observation window.,8,0,8,100.0,100,100,P4,None
serviceAccount:firebase-service-account@firebase-sa-management.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/firebase.managementServiceAgent,REMOVE_ROLE,This role has not been used during the observation window.,82,0,82,100.0,100,100,P4,None
serviceAccount:data-discovery-service-account@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectUser,REMOVE_ROLE,This role has not been used during the observation window.,24,0,24,100.0,100,100,P4,None
serviceAccount:marko-report-bot@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectCreator,REMOVE_ROLE,This role has not been used during the observation window.,9,0,9,100.0,100,100,P4,None
serviceAccount:gsa-fusion@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.secretAccessor,REMOVE_ROLE,This role has not been used during the observation window.,3,0,3,100.0,100,100,P4,None
serviceAccount:xfs-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/container.defaultNodeServiceAccount,REMOVE_ROLE,This role has not been used during the observation window.,6,0,6,100.0,100,100,P4,None
serviceAccount:gsa-fusion@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/artifactregistry.reader,REMOVE_ROLE,This role has not been used during the observation window.,31,0,31,100.0,100,100,P4,None
serviceAccount:xfs-staging@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/secretmanager.secretVersionManager,REMOVE_ROLE,This role has not been used during the observation window.,8,0,8,100.0,100,100,P4,None
serviceAccount:105005824641-compute@developer.gserviceaccount.com,serviceAccount,foiply-app,roles/container.developer,REMOVE_ROLE,This role has not been used during the observation window.,386,0,386,100.0,100,100,P4,None
user:it-sys@documo.com,user,foiply-app,roles/cloudsql.admin,REMOVE_ROLE,This role has not been used during the observation window.,142,0,142,100.0,100,100,P4,None
serviceAccount:xfs-production@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/composer.environmentAndStorageObjectUser,REMOVE_ROLE,This role has not been used during the observation window.,24,0,24,100.0,100,100,P4,None
serviceAccount:gsa-portal@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/storage.objectAdmin,REMOVE_ROLE,This role has not been used during the observation window.,28,0,28,100.0,100,100,P4,None
serviceAccount:gitlab-5318ef1768e1a92506f3bd@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/iam.workloadIdentityUser,REMOVE_ROLE,This role has not been used during the observation window.,4,0,4,100.0,100,100,P4,None
serviceAccount:service-105005824641@containerregistry.iam.gserviceaccount.com,serviceAccount,foiply-app,roles/editor,SERVICE_AGENT_WITH_DEFAULT_ROLE,Replace OEV role with service agent role and other curated roles.,10251,0,10251,100.0,100,100,P2,None
serviceAccount:rp-csm-cnah9bt9cnna1iqe201g@foiply-app.iam.gserviceaccount.com,serviceAccount,foiply-app,projects/foiply-app/roles/redpandaConnectorsCnah9bt9cnna1iqe201gJ1lp,REMOVE_ROLE,This role has not been used during the observation window.,2,0,2,100.0,100,100,P4,None
