Role_Name,Affected_Users_Count,Affected_Users,Total_Permissions,Max_Used_Permissions,Average_Waste_Percentage,Recommendation,Top_Used_Permissions,Custom_Role_Suggestion
roles/networkconnectivity.groupUser,1,user:sandra.gendy@documo.com,1,0,100,Create Custom Role,None,custom_networkconnectivity.groupUser
roles/container.admin,4,serviceAccount:gsa-fusion-staging@foiply-app.iam.gserviceaccount.com; serviceAccount:gsa-fusion@foiply-app.iam.gserviceaccount.com; serviceAccount:dan-kott-workstation@foiply-app.iam.gserviceaccount.com...,429,0,100,Create Custom Role,None,custom_container.admin
roles/workstations.serviceAgent,1,serviceAccount:devops-workstations@foiply-app.iam.gserviceaccount.com,71,0,100,Create Custom Role,None,custom_workstations.serviceAgent
roles/compute.viewer,2,serviceAccount:tenable-io@foiply-app.iam.gserviceaccount.com; serviceAccount:datadog-118@foiply-app.iam.gserviceaccount.com,354,0,100,Create Custom Role,None,custom_compute.viewer
roles/monitoring.metricWriter,3,serviceAccount:collector@foiply-app.iam.gserviceaccount.com; serviceAccount:gsa-documo-staging@foiply-app.iam.gserviceaccount.com; serviceAccount:gsa-faxengine-staging@foiply-app.iam.gserviceaccount.com,6,0,100,Create Custom Role,None,custom_monitoring.metricWriter
roles/container.developer,3,serviceAccount:105005824641-compute@developer.gserviceaccount.com; serviceAccount:documo-app@foiply-app.iam.gserviceaccount.com; serviceAccount:sandratest@foiply-app.iam.gserviceaccount.com,386,0,100,Create Custom Role,None,custom_container.developer
roles/clouddeploy.releaser,1,serviceAccount:105005824641-compute@developer.gserviceaccount.com,23,0,100,Create Custom Role,None,custom_clouddeploy.releaser
roles/secretmanager.admin,2,serviceAccount:devops-workstations@foiply-app.iam.gserviceaccount.com; serviceAccount:documo-devops-gsm@foiply-app.iam.gserviceaccount.com,27,0,100,Create Custom Role,None,custom_secretmanager.admin
roles/iam.serviceAccountUser,2,serviceAccount:ubuntu-workstation@foiply-app.iam.gserviceaccount.com; serviceAccount:openemr-787@foiply-app.iam.gserviceaccount.com,5,0,100,Create Custom Role,None,custom_iam.serviceAccountUser
roles/cloudsql.instanceUser,4,serviceAccount:cloudsql-read-only@foiply-app.iam.gserviceaccount.com; user:gazal.shukla@documo.com; serviceAccount:gsa-xfs-staging@foiply-app.iam.gserviceaccount.com...,2,0,100,Create Custom Role,None,custom_cloudsql.instanceUser
roles/cloudsql.client,4,serviceAccount:cloudsql-read-only@foiply-app.iam.gserviceaccount.com; serviceAccount:gsa-xfs-staging@foiply-app.iam.gserviceaccount.com; serviceAccount:documo-app@foiply-app.iam.gserviceaccount.com...,2,0,100,Create Custom Role,None,custom_cloudsql.client
roles/artifactregistry.reader,9,serviceAccount:gsa-faxbridge-staging@foiply-app.iam.gserviceaccount.com; serviceAccount:gsa-faxengine-staging@foiply-app.iam.gserviceaccount.com; serviceAccount:gsa-fusion@foiply-app.iam.gserviceaccount.com...,31,0,100,Create Custom Role,None,custom_artifactregistry.reader
roles/securitycenter.admin,1,user:it-sys@documo.com,366,0,100,Create Custom Role,None,custom_securitycenter.admin
roles/storage.objectViewer,2,serviceAccount:staging-buckets-sa@foiply-app.iam.gserviceaccount.com; serviceAccount:prod-faxstorage-buckets-sa@foiply-app.iam.gserviceaccount.com,8,0,100,Create Custom Role,None,custom_storage.objectViewer
roles/networkmanagement.admin,1,serviceAccount:documo-app@foiply-app.iam.gserviceaccount.com,22,0,100,Create Custom Role,None,custom_networkmanagement.admin
roles/owner,2,user:v-dan.kott@documo.com; user:v-sandra.gendy@documo.com,11614,0,100,Create Custom Role,None,custom_owner
roles/logging.logWriter,4,serviceAccount:cloud-functions@foiply-app.iam.gserviceaccount.com; serviceAccount:gsa-documo-staging@foiply-app.iam.gserviceaccount.com; group:devops@documo.com...,2,0,100,Create Custom Role,None,custom_logging.logWriter
roles/billing.projectManager,1,group:finance@documo.com,2,0,100,Create Custom Role,None,custom_billing.projectManager
roles/run.invoker,2,serviceAccount:cloud-functions@foiply-app.iam.gserviceaccount.com; serviceAccount:gke-limited@foiply-app.iam.gserviceaccount.com,2,0,100,Create Custom Role,None,custom_run.invoker
roles/secretmanager.viewer,4,serviceAccount:xfs-secret-manager-sa@foiply-app.iam.gserviceaccount.com; serviceAccount:xfs-production-secrets-manager@foiply-app.iam.gserviceaccount.com; serviceAccount:xfs-production@foiply-app.iam.gserviceaccount.com...,11,0,100,Create Custom Role,None,custom_secretmanager.viewer
